,song_name,artist_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
292,Foxey Lady,Jimi Hendrix,62,198773,0.0751,0.507,0.847,0.237,1,0.37200000000000005,-5.987,0,0.0411,98.096,4,0.5660000000000001
294,Time Has Come Today,The Chambers Brothers,53,290933,0.0252,0.528,0.514,0.0894,2,0.0725,-11.909,1,0.133,122.87200000000001,4,0.44
299,Psychotic Reaction,Count Five,55,185523,0.000242,0.34600000000000003,0.75,0.0119,11,0.271,-6.619,1,0.10300000000000001,165.03599999999997,4,0.667
303,Magic Carpet Ride,Steppenwolf,68,271573,0.142,0.64,0.6509999999999999,0.28,4,0.0341,-14.981,0,0.0517,111.676,4,0.8009999999999999
307,Bad Moon Rising,Creedence Clearwater Revival,71,141600,0.0543,0.6409999999999999,0.774,1.05e-05,2,0.0473,-5.916,1,0.0278,89.787,4,0.9420000000000001
308,Crying,Roy Orbison,59,166466,0.758,0.35,0.293,8.21e-06,2,0.10400000000000001,-9.502,1,0.0258,96.685,4,0.162
310,Shop Around,The Miracles,54,170760,0.8,0.5579999999999999,0.6859999999999999,0.0,7,0.815,-4.495,1,0.0289,132.075,4,0.8859999999999999
312,The Times They Are A-Changin',Bob Dylan,70,192053,0.887,0.389,0.396,0.0,7,0.0828,-7.999,1,0.0332,171.86,3,0.585
317,Brown Eyed Girl,Van Morrison,80,183306,0.182,0.491,0.583,0.0,7,0.40700000000000003,-10.964,1,0.0376,150.572,4,0.907
321,White Rabbit,Jefferson Airplane,70,150640,0.486,0.551,0.293,0.000273,2,0.0864,-12.503,1,0.0272,106.79799999999999,4,0.322
322,Green River,Creedence Clearwater Revival,60,154120,0.0356,0.7040000000000001,0.773,0.00498,9,0.08199999999999999,-9.621,1,0.0279,141.655,4,0.972
327,For Your Love,The Yardbirds,53,149733,0.387,0.33799999999999997,0.6679999999999999,1.59e-05,2,0.111,-8.641,1,0.0421,127.09700000000001,5,0.561
333,Itchycoo Park,Small Faces,49,172746,0.395,0.601,0.596,2.34e-06,9,0.451,-8.029,1,0.0734,128.168,4,0.503
334,Wild Thing,The Troggs,54,158250,0.721,0.42100000000000004,0.664,0.00244,11,0.0851,-10.657,0,0.0665,201.583,4,0.574
335,Care Of Cell 44,The Zombies,52,235826,0.265,0.42100000000000004,0.58,0.0136,7,0.0973,-7.011,1,0.0285,129.959,4,0.40299999999999997
341,96 Tears,? & The Mysterians,30,177426,0.0586,0.68,0.507,6.49e-06,7,0.0754,-5.928999999999999,1,0.0336,123.47,4,0.8540000000000001
342,Have Love Will Travel,The Sonics,55,160400,0.727,0.506,0.948,0.0,10,0.0904,-5.626,1,0.105,130.195,4,0.934
347,Eight Miles High,The Byrds,56,214640,0.21,0.364,0.768,0.136,9,0.503,-10.492,1,0.0757,130.602,4,0.37
349,More Than Words,Extreme,69,334106,0.46799999999999997,0.615,0.129,0.0,6,0.114,-14.892000000000001,1,0.0286,91.76899999999999,4,0.249
355,You're So Vain,Carly Simon,74,258411,0.157,0.659,0.6779999999999999,6.69e-06,0,0.0784,-8.18,1,0.0313,106.186,4,0.647
367,Hallelujah,Leonard Cohen,64,277160,0.715,0.28,0.344,0.00642,0,0.133,-12.577,1,0.0293,171.143,3,0.23199999999999998
370,Jolene,Dolly Parton,76,161533,0.5660000000000001,0.674,0.537,0.0,1,0.131,-10.970999999999998,0,0.0363,110.57799999999999,4,0.809
374,Where You Lead,Carole King,62,200146,0.763,0.784,0.45899999999999996,1.28e-06,0,0.0684,-10.446,1,0.0304,106.95700000000001,4,0.9309999999999999
376,If You Could Read My Mind,Gordon Lightfoot,60,229560,0.68,0.603,0.252,6.96e-05,2,0.147,-12.402000000000001,1,0.0337,122.631,4,0.179
377,Pink Moon,Nick Drake,64,123173,0.851,0.456,0.26,0.166,3,0.142,-15.435,1,0.0548,82.321,4,0.491
381,I Walk the Line,Johnny Cash,71,176533,0.877,0.713,0.258,0.00606,9,0.0967,-14.59,1,0.0384,98.805,4,0.56
390,Easy,Commodores,58,260893,0.233,0.575,0.43200000000000005,0.00135,10,0.0743,-13.642000000000001,0,0.0314,132.145,4,0.348
394,Wuthering Heights,Kate Bush,66,269066,0.366,0.48100000000000004,0.392,0.0452,1,0.124,-11.380999999999998,1,0.0312,124.572,4,0.52
397,(You Make Me Feel Like) A Natural Woman,Carole King,62,229066,0.953,0.624,0.158,0.00135,9,0.11199999999999999,-13.059000000000001,1,0.0289,85.492,3,0.303
398,Cecilia,Simon & Garfunkel,68,174826,0.35700000000000004,0.755,0.8759999999999999,5.17e-06,0,0.22,-8.867,1,0.0362,102.762,4,0.9540000000000001
400,And It Stoned Me,Van Morrison,50,272160,0.35,0.593,0.46799999999999997,3.52e-05,7,0.0919,-11.165,1,0.0285,75.798,4,0.597
401,Famous Blue Raincoat,Leonard Cohen,58,310773,0.948,0.474,0.0404,0.000263,9,0.111,-22.208000000000002,0,0.0387,119.415,3,0.18
407,Something On Your Mind,Karen Dalton,53,203333,0.55,0.41,0.598,0.00274,2,0.092,-8.515,1,0.0405,76.445,4,0.262
418,Who Are You,The Who,63,381626,0.299,0.653,0.631,0.00265,9,0.0627,-11.334000000000001,1,0.0461,156.32,4,0.516
420,Who'll Stop The Rain,Creedence Clearwater Revival,66,147493,0.0424,0.598,0.797,0.000407,7,0.0717,-6.792999999999999,1,0.0332,123.566,4,0.622
425,Dream On,Aerosmith,79,266960,0.38799999999999996,0.307,0.433,9.08e-05,1,0.332,-10.057,1,0.028999999999999998,160.9,4,0.22399999999999998
430,Black Magic Woman,Santana,64,196466,0.6759999999999999,0.489,0.349,0.0789,2,0.0866,-14.295,0,0.0323,124.348,4,0.622
432,Free Bird,Lynyrd Skynyrd,71,547106,0.0765,0.252,0.8440000000000001,0.00018,0,0.084,-8.121,1,0.0572,118.15799999999999,4,0.35100000000000003
433,Cocaine,Eric Clapton,69,221640,0.0607,0.6990000000000001,0.502,0.0337,9,0.317,-12.526,1,0.0278,105.266,4,0.6759999999999999
439,Blinded By The Light,Manfred Mann's Earth Band,63,428133,0.29100000000000004,0.456,0.696,0.000207,5,0.0853,-10.0,1,0.0653,142.156,4,0.508
445,Just What I Needed,The Cars,69,225626,0.0152,0.619,0.579,6.4e-05,4,0.0858,-9.307,1,0.0473,127.22399999999999,4,0.69
454,The Joker,Steve Miller Band,75,264503,0.39399999999999996,0.424,0.446,3.78e-06,5,0.16,-9.618,1,0.0525,165.158,4,0.794
470,Fire And Rain,James Taylor,72,200579,0.499,0.611,0.35,7.84e-06,5,0.0844,-14.48,1,0.0356,76.064,4,0.36
474,My Sharona,The Knack,74,295400,0.0589,0.586,0.7,0.00125,0,0.0318,-9.558,1,0.0363,147.245,4,0.897
476,Baby Hold On,Eddie Money,57,210826,0.154,0.642,0.6409999999999999,1.23e-06,2,0.0475,-12.444,1,0.049,120.316,4,0.85
481,All Right Now,Free,52,334000,0.00966,0.7859999999999999,0.48100000000000004,0.0,2,0.0954,-11.235999999999999,1,0.114,119.854,4,0.785
483,Barracuda,Heart,72,261933,0.015,0.547,0.691,0.105,4,0.14400000000000002,-13.552999999999999,0,0.0369,137.148,4,0.667
484,Ballroom Blitz,Sweet,59,246573,0.0821,0.644,0.799,0.0015400000000000001,4,0.055,-10.856,0,0.0598,108.382,4,0.889
485,Black Betty,Ram Jam,68,237893,0.018000000000000002,0.465,0.865,0.00135,11,0.0769,-9.573,0,0.098,117.52799999999999,4,0.677
491,Bridge Over Troubled Water,Simon & Garfunkel,69,293120,0.8220000000000001,0.149,0.20600000000000002,0.0006490000000000001,3,0.115,-13.888,1,0.0323,79.764,4,0.264
501,Do You Feel Like We Do,Peter Frampton,48,836666,0.0439,0.295,0.568,0.0117,0,0.977,-8.232000000000001,1,0.0284,98.28399999999999,4,0.384
505,Deacon Blues,Steely Dan,58,456640,0.48100000000000004,0.7509999999999999,0.5720000000000001,0.000532,0,0.105,-12.324000000000002,1,0.0388,115.839,4,0.58
507,Life's Been Good,Joe Walsh,69,536226,0.25,0.505,0.47600000000000003,0.00915,2,0.113,-12.897,1,0.0711,99.31,4,0.542
512,Paradise City,Guns N' Roses,73,406306,0.0214,0.27399999999999997,0.9490000000000001,0.00778,11,0.218,-8.642000000000001,1,0.0896,100.346,4,0.49700000000000005
519,You Give Love A Bad Name,Bon Jovi,26,223733,0.0771,0.5589999999999999,0.825,0.0,0,0.363,-10.725,0,0.0401,122.821,4,0.805
520,Seventeen,Winger,59,245266,0.000895,0.5770000000000001,0.6759999999999999,2.29e-06,8,0.0625,-11.931,1,0.0295,95.98,4,0.6759999999999999
521,Nobody's Fool,Cinderella,16,287400,0.0478,0.36700000000000005,0.445,0.0028399999999999996,9,0.19899999999999998,-13.615,0,0.0286,67.197,4,0.149
524,Bad Medicine,Bon Jovi,67,316706,0.048,0.555,0.973,0.0,9,0.0853,-3.804,1,0.035,118.64200000000001,4,0.805
525,Metal Health (Bang Your Head),Quiet Riot,63,316866,0.0434,0.494,0.9329999999999999,0.00108,2,0.228,-5.977,1,0.0808,121.20100000000001,4,0.507
526,The Final Countdown,Europe,74,310333,0.0628,0.536,0.8440000000000001,0.00084,6,0.0608,-6.917999999999999,0,0.057999999999999996,117.652,4,0.185
529,Close My Eyes Forever,Lita Ford,60,283133,0.31,0.47600000000000003,0.331,2.82e-06,5,0.172,-14.884,1,0.0305,130.57399999999998,4,0.24
535,Wanted Dead Or Alive,Bon Jovi,67,308666,0.13699999999999998,0.257,0.8029999999999999,0.0156,7,0.297,-3.886,1,0.0411,150.81799999999998,4,0.294
540,Livin' On A Prayer,Bon Jovi,63,250626,0.0665,0.52,0.887,0.00017900000000000001,0,0.18600000000000003,-3.2960000000000003,1,0.0349,122.52799999999999,4,0.7929999999999999
541,Sweet Child O' Mine,Guns N' Roses,77,356400,0.141,0.449,0.9009999999999999,0.0675,6,0.128,-7.711,1,0.0526,125.148,4,0.696
547,Holy Diver,Dio,61,353786,0.0642,0.47600000000000003,0.9009999999999999,0.158,8,0.0557,-6.751,1,0.0975,91.955,4,0.109
550,We're Not Gonna Take It,Twisted Sister,60,219666,0.0127,0.502,0.924,0.0,4,0.162,-6.2989999999999995,1,0.0503,149.186,4,0.922
551,Cherry Pie,Warrant,68,201026,0.0372,0.47200000000000003,0.946,0.0,2,0.35200000000000004,-4.591,1,0.145,177.489,4,0.486
555,Dude (Looks Like A Lady),Aerosmith,69,265773,0.41700000000000004,0.537,0.978,1.56e-05,4,0.0374,-2.9210000000000003,0,0.0442,126.34299999999999,4,0.9309999999999999
